filepath,xmin,xmax,ymin,ymax
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N108.xml,184,342,220,257
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N135.xml,157,341,197,247
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N113.xml,39,108,129,157
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N124.xml,165,328,276,324
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N137.xml,401,593,456,493
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N117.xml,120,249,161,202
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N123.xml,11,246,78,165
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N104.xml,66,154,166,197
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N121.xml,311,506,324,370
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N130.xml,419,513,173,213
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N136.xml,787,910,473,513
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N106.xml,137,262,249,290
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N128.xml,58,221,198,271
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N116.xml,157,316,226,278
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N112.xml,179,347,256,290
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N11.xml,131,187,130,144
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N119.xml,180,559,216,314
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N131.xml,198,349,107,143
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N133.xml,795,1095,751,840
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N127.xml,24,142,209,245
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N102.xml,164,316,216,243
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N12.xml,976,1284,669,754
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N100.xml,134,301,312,350
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N101.xml,31,139,128,161
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N105.xml,360,434,174,195
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N126.xml,149,399,269,327
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N103.xml,813,1067,665,724
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N114.xml,15,200,33,126
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N1.xml,1093,1396,645,727
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N134.xml,230,365,188,219
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N110.xml,183,249,211,227
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N107.xml,207,356,174,287
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N118.xml,532,852,636,706
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N122.xml,342,494,243,288
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N129.xml,301,504,351,402
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N120.xml,647,736,332,387
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N132.xml,111,320,133,286
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N109.xml,148,239,250,320
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N111.xml,80,239,364,402
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N200.xml,196,442,227,293
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N145.xml,233,432,88,151
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N192.xml,543,769,390,461
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N16.xml,887,1173,625,696
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N196.xml,119,220,84,111
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N138.xml,36,465,64,168
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N187.xml,572,839,461,535
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N153.xml,133,279,352,385
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N160.xml,153,251,196,217
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N175.xml,183,250,205,229
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N150.xml,172,372,97,143
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N179.xml,203,297,217,240
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N167.xml,345,848,242,416
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N144.xml,39,177,201,275
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N185.xml,321,559,420,484
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N15.xml,582,853,622,691
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N177.xml,331,538,263,317
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N163.xml,230,316,203,231
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N162.xml,147,336,169,209
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N168.xml,271,474,514,561
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N2.xml,1804,2493,1734,1882
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N151.xml,144,277,216,252
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N183.xml,216,343,155,190
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N195.xml,186,367,137,232
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N141.xml,150,348,255,296
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N171.xml,13,444,137,270
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N173.xml,80,335,150,243
